Gene,Bacteria,Present,Category
HopR1,R.variigena,0,Effector
HopZ3,R.variigena,0,Effector
HopH1,R.variigena,0,Effector
HopL1,R.variigena,1,Effector
HopAH2,R.variigena,0,Effector
HopAJ1,R.variigena,0,Effector
HopPtoC,R.variigena,0,Effector
HopAV1,R.variigena,0,Effector
HopAF1,R.variigena,1,Effector
HopI1,R.variigena,0,Effector
HopAE1,R.variigena,0,Effector
HopAJ2,R.variigena,1,Effector
HopAB1,R.variigena,0,Effector
HopE1,R.variigena,0,Effector
HopAW1,R.variigena,0,Effector
HopP1,R.variigena,0,Effector
AvrBs2,R.variigena,0,Effector
AvrA,R.variigena,0,Effector
AvrRxv,R.variigena,0,Effector
AvrRpm1,R.variigena,0,Effector
AvrXccE1,R.variigena,0,Effector
AvrRpt2,R.variigena,0,Effector
AvrBs3,R.variigena,0,Effector
AvrE1,R.variigena,0,Effector
AvrB3,R.variigena,0,Effector
AvrXccB,R.variigena,0,Effector
DspA/E,R.variigena,0,Effector
DspF,R.variigena,0,Effector
Rsc3369,R.variigena,0,Effector
MxiE,R.variigena,1,Effector
ExoU,R.variigena,0,Effector
T2SS,R.variigena,0,T2SS
T3SS,R.variigena,2,T3SS
T4SS,R.variigena,2,T4SS
T6SS,R.variigena,1,T6SS
Flagella,R.variigena,1,Flagella
Pili,R.variigena,1,Pili
Pectate disaccharide-lyase,G.quercinecans N78,0,PCWDE
Pectate lyase,G.quercinecans N78,0,PCWDE
Rhanmogalacturonan endolyase,G.quercinecans N78,1,PCWDE
Pectin lyase,G.quercinecans N78,0,PCWDE
Cellulase,G.quercinecans N78,1,PCWDE
beta-xylanase,G.quercinecans N78,0,PCWDE
Arabinosidase,G.quercinecans N78,0,PCWDE
beta-galactosidase,G.quercinecans N78,0,PCWDE
beta-xylosidase,G.quercinecans N78,0,PCWDE
beta-glucosidase,G.quercinecans N78,0,PCWDE
alpha-galactosidase,G.quercinecans N78,1,PCWDE
Galactanase,G.quercinecans N78,0,PCWDE
Polyglacturonase,G.quercinecans N78,1,PCWDE
Avicelase,G.quercinecans N78,0,PCWDE
alpha-L-arabinosidase,G.quercinecans N78,0,PCWDE
alpha-glucuronidase,G.quercinecans N78,0,PCWDE
Harpin(HrpN),G.quercinecans N78,0,Harpin
Harpin(HrpW),G.quercinecans N78,0,Harpin
Harpin(HrpA2),G.quercinecans N78,0,Harpin
Harpin(HrpZ1),G.quercinecans N78,0,Harpin
Harpin(HrpK1),G.quercinecans N78,0,Harpin
Harpin(PopW),G.quercinecans N78,0,Harpin
Harpin(HrcR),G.quercinecans N78,0,Harpin
Harpin(HopAK1),G.quercinecans N78,0,Harpin
HopAN1,G.quercinecans N78,1,Effector
HopAC1,G.quercinecans N78,0,Effector
HopAG1,G.quercinecans N78,0,Effector
HopAH1,G.quercinecans N78,0,Effector
HopAI1,G.quercinecans N78,0,Effector
HopJ1,G.quercinecans N78,0,Effector
HopAA1,G.quercinecans N78,0,Effector
HopM1,G.quercinecans N78,0,Effector
HopX1,G.quercinecans N78,0,Effector
HopQ1,G.quercinecans N78,0,Effector
HopF2,G.quercinecans N78,0,Effector
HopV1,G.quercinecans N78,0,Effector
HopR1,G.quercinecans N78,0,Effector
HopZ3,G.quercinecans N78,0,Effector
HopH1,G.quercinecans N78,0,Effector
HopL1,G.quercinecans N78,0,Effector
HopAH2,G.quercinecans N78,0,Effector
HopAJ1,G.quercinecans N78,0,Effector
HopPtoC,G.quercinecans N78,0,Effector
HopAV1,G.quercinecans N78,0,Effector
HopAF1,G.quercinecans N78,1,Effector
HopI1,G.quercinecans N78,0,Effector
HopAE1,G.quercinecans N78,0,Effector
HopAJ2,G.quercinecans N78,1,Effector
HopAB1,G.quercinecans N78,0,Effector
HopE1,G.quercinecans N78,0,Effector
HopAW1,G.quercinecans N78,0,Effector
HopP1,G.quercinecans N78,0,Effector
AvrBs2,G.quercinecans N78,0,Effector
AvrA,G.quercinecans N78,0,Effector
AvrRxv,G.quercinecans N78,0,Effector
AvrRpm1,G.quercinecans N78,0,Effector
AvrXccE1,G.quercinecans N78,0,Effector
AvrRpt2,G.quercinecans N78,0,Effector
AvrBs3,G.quercinecans N78,0,Effector
AvrE1,G.quercinecans N78,0,Effector
AvrB3,G.quercinecans N78,0,Effector
AvrXccB,G.quercinecans N78,0,Effector
DspA/E,G.quercinecans N78,0,Effector
DspF,G.quercinecans N78,0,Effector
Rsc3369,G.quercinecans N78,0,Effector
MxiE,G.quercinecans N78,1,Effector
ExoU,G.quercinecans N78,0,Effector
T2SS,G.quercinecans N78,2,T2SS
T3SS,G.quercinecans N78,0,T3SS
T4SS,G.quercinecans N78,0,T4SS
T6SS,G.quercinecans N78,1,T6SS
Flagella,G.quercinecans N78,0,Flagella
Pili,G.quercinecans N78,1,Pili
Pectate disaccharide-lyase,G.quercinecans FRB124,0,PCWDE
Pectate lyase,G.quercinecans FRB124,0,PCWDE
Rhanmogalacturonan endolyase,G.quercinecans FRB124,1,PCWDE
Pectin lyase,G.quercinecans FRB124,0,PCWDE
Cellulase,G.quercinecans FRB124,1,PCWDE
beta-xylanase,G.quercinecans FRB124,0,PCWDE
Arabinosidase,G.quercinecans FRB124,0,PCWDE
beta-galactosidase,G.quercinecans FRB124,0,PCWDE
beta-xylosidase,G.quercinecans FRB124,0,PCWDE
beta-glucosidase,G.quercinecans FRB124,1,PCWDE
alpha-galactosidase,G.quercinecans FRB124,1,PCWDE
Galactanase,G.quercinecans FRB124,0,PCWDE
Polyglacturonase,G.quercinecans FRB124,1,PCWDE
Avicelase,G.quercinecans FRB124,0,PCWDE
alpha-L-arabinosidase,G.quercinecans FRB124,0,PCWDE
alpha-glucuronidase,G.quercinecans FRB124,0,PCWDE
Harpin(HrpN),G.quercinecans FRB124,0,Harpin
Harpin(HrpW),G.quercinecans FRB124,0,Harpin
Harpin(HrpA2),G.quercinecans FRB124,0,Harpin
Harpin(HrpZ1),G.quercinecans FRB124,0,Harpin
Harpin(HrpK1),G.quercinecans FRB124,0,Harpin
Harpin(PopW),G.quercinecans FRB124,0,Harpin
Harpin(HrcR),G.quercinecans FRB124,0,Harpin
Harpin(HopAK1),G.quercinecans FRB124,0,Harpin
HopAN1,G.quercinecans FRB124,1,Effector
HopAC1,G.quercinecans FRB124,0,Effector
HopAG1,G.quercinecans FRB124,0,Effector
HopAH1,G.quercinecans FRB124,0,Effector
HopAI1,G.quercinecans FRB124,0,Effector
HopJ1,G.quercinecans FRB124,0,Effector
HopAA1,G.quercinecans FRB124,0,Effector
HopM1,G.quercinecans FRB124,0,Effector
HopX1,G.quercinecans FRB124,0,Effector
HopQ1,G.quercinecans FRB124,0,Effector
HopF2,G.quercinecans FRB124,0,Effector
HopV1,G.quercinecans FRB124,0,Effector
HopR1,G.quercinecans FRB124,0,Effector
HopZ3,G.quercinecans FRB124,0,Effector
HopH1,G.quercinecans FRB124,0,Effector
HopL1,G.quercinecans FRB124,0,Effector
HopAH2,G.quercinecans FRB124,0,Effector
HopAJ1,G.quercinecans FRB124,0,Effector
HopPtoC,G.quercinecans FRB124,0,Effector
HopAV1,G.quercinecans FRB124,0,Effector
HopAF1,G.quercinecans FRB124,1,Effector
HopI1,G.quercinecans FRB124,0,Effector
